Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2020-08-29,0.108801168,0.1073746451,0.1115713895,0.1061885014
ADA,2020-08-30,0.1154356576,0.1094425339,0.1159727365,0.1082303009
ADA,2020-08-31,0.1167849975,0.1164067222,0.1189261526,0.1139318281
ADA,2020-09-01,0.1226498715,0.1174263434,0.1267817391,0.1132218142
ADA,2020-09-02,0.1258649008,0.1226000199,0.1281710533,0.1191585024
ADA,2020-09-03,0.1160437325,0.1244599595,0.1263933143,0.1110427113
ADA,2020-09-04,0.1032112082,0.1151360835,0.1170458351,0.1015810023
ADA,2020-09-05,0.1032063332,0.0947934947,0.1041357418,0.0925805674
ADA,2020-09-06,0.0881716926,0.1017859009,0.1040643239,0.0861974966
ADA,2020-09-07,0.0916015626,0.0900549237,0.0960637707,0.0857162703
ADA,2020-09-08,0.0934881031,0.0927215421,0.0939156763,0.0861832772
ADA,2020-09-09,0.0895697989,0.0936325116,0.0971342287,0.0885828426
ADA,2020-09-10,0.0940003555,0.091145658,0.0958460632,0.0893387514
ADA,2020-09-11,0.0972112742,0.0933827808,0.0996526487,0.0932748231
ADA,2020-09-12,0.0967275627,0.0971740445,0.0975426879,0.0935384791
ADA,2020-09-13,0.0972075199,0.09709515,0.0985452789,0.0946106554
ADA,2020-09-14,0.0944615463,0.0977812599,0.0997906744,0.0925471443
ADA,2020-09-15,0.0959956313,0.0951173792,0.0979401352,0.0934178537
ADA,2020-09-16,0.0937598813,0.0967161714,0.0980309063,0.0934752036
ADA,2020-09-17,0.0918253024,0.0932127206,0.0933710161,0.0896431251
ADA,2020-09-18,0.0943500648,0.0916232443,0.0946882987,0.0908703521
ADA,2020-09-19,0.0905986456,0.0941391864,0.094184146,0.0903374736
ADA,2020-09-20,0.0914237046,0.0909930523,0.0931828277,0.090527747
ADA,2020-09-21,0.088272825,0.0914508464,0.0922776255,0.0876460353
ADA,2020-09-22,0.0810825062,0.0893953443,0.0901606375,0.0771930216
ADA,2020-09-23,0.0820829252,0.0798841807,0.0834110766,0.0791867595
ADA,2020-09-24,0.0772032436,0.0814933193,0.0828816029,0.0766255195
ADA,2020-09-25,0.0828177851,0.076668513,0.0837146679,0.0755684275
ADA,2020-09-26,0.0968550072,0.0825456778,0.0986879204,0.0823763502
ADA,2020-09-27,0.0948531753,0.0969695634,0.0999291771,0.0923797081
ADA,2020-09-28,0.1008914901,0.0955069664,0.1027018153,0.0942495673
ADA,2020-09-29,0.1029340676,0.1012889762,0.1066851541,0.1012889762
ADA,2020-09-30,0.100141063,0.1002676915,0.1032353512,0.0974017261
ADA,2020-10-01,0.1007165396,0.1011362776,0.101608409,0.0966597069
ADA,2020-10-02,0.0974217732,0.1013514822,0.1045640206,0.0953606401
